Grupo;SD;DI;Idade_da_crianca;sexo;escola;ocupacao_da_mae;ocupacao_da_mae_Trabalha;ocupacao_da_mae_Lar;ocupacao_do_pai;ocupacao_do_pai_Trabalha;ocupacao do_pai_Lar;idade_da_mae;idade_do_pai;situacao_conjugal;casado;Numero_de_filhos;Tipo_de_moradia;Condicao_de_moradia;Condicao_de_moradia;Moradia_Propria;Moradia_Alugada;media_salarial;PP;CP;PSI;FACES_IV
3;0;0;0;1;0;1;1;0;1;1;0;35;34;1;1;3;1;1;1;1;0;2;161;188;110;182
3;0;0;1;1;0;3;0;1;3;0;1;50;50;4;0;1;1;1;1;1;0;2;171;188;122;226
3;0;0;1;1;0;1;1;0;3;0;1;48;48;6;0;4;1;1;1;1;0;2;133;159;102;177
3;0;0;1;0;0;1;1;0;3;0;1;45;44;6;0;2;1;1;1;1;0;1;181;180;118;211
3;0;0;1;1;0;1;1;0;1;1;0;42;48;1;1;1;1;1;1;1;0;2;160;190;94;205
3;0;0;1;1;0;2;0;0;1;1;0;41;55;1;1;1;1;2;2;0;0;2;137;186;103;221
3;0;0;1;0;0;1;1;0;1;1;0;45;50;1;1;1;1;1;1;1;0;2;170;204;102;208
3;0;0;1;0;0;1;1;0;1;1;0;48;48;2;0;3;1;1;1;1;0;2;181;193;96;171
3;0;0;1;1;0;3;0;1;1;1;0;51;54;2;0;4;1;3;3;0;0;1;181;166;103;225
3;0;0;0;1;0;1;1;0;1;1;0;42;42;2;0;3;1;1;1;1;0;2;171;189;83;189
3;0;0;0;0;0;1;1;0;1;1;0;42;50;1;1;2;1;1;1;1;0;6;142;199;82;226
3;0;0;0;0;0;3;0;1;1;1;0;46;42;1;1;1;1;1;1;1;0;6;175;198;105;213
3;0;0;0;0;0;1;1;0;1;1;0;43;49;1;1;3;0;2;2;0;0;3;159;184;104;193
3;0;0;0;1;0;3;0;1;1;1;0;44;50;1;1;1;1;1;1;1;0;2;138;74;120;223
3;0;0;0;1;0;3;0;1;3;0;1;45;45;5;0;1;1;1;1;1;0;2;163;177;128;204
3;0;0;0;0;0;1;1;0;3;0;1;43;43;1;1;2;1;1;1;1;0;6;161;157;121;200
3;0;0;0;1;0;3;0;1;1;1;0;46;56;1;1;2;1;3;3;0;0;6;188;182;125;228
3;0;0;0;0;0;1;1;0;1;1;0;33;35;1;1;1;0;3;3;0;0;4;151;177;93;204
3;0;0;0;1;0;1;1;0;1;1;0;45;34;1;1;2;1;2;2;0;0;6;142;176;104;217
3;0;0;0;1;0;1;1;0;1;1;0;45;50;1;1;5;1;1;1;1;0;2;185;200;95;207
3;0;0;0;1;0;3;0;1;1;1;0;27;27;1;1;1;1;1;1;1;0;2;154;178;81;170
3;0;0;0;0;0;1;1;0;1;1;0;31;37;1;1;4;1;3;3;0;0;2;148;166;103;199
3;0;0;0;0;0;3;0;1;1;1;0;46;35;1;1;1;1;1;1;1;0;2;147;176;94;201
3;0;0;0;1;0;1;1;0;1;1;0;42;52;2;0;1;1;1;1;1;0;2;135;160;98;217
3;0;0;0;0;1;1;1;0;1;1;0;28;29;1;1;1;0;3;3;0;0;3;144;176;101;198
3;0;0;1;0;1;1;1;0;1;1;0;42;49;1;1;1;0;1;1;1;0;5;181;200;103;217
3;0;0;1;0;0;1;1;0;1;1;0;45;45;2;0;1;1;3;3;0;0;1;160;198;103;204
3;0;0;1;1;0;1;1;0;1;1;0;39;39;2;0;1;1;3;3;0;0;2;181;199;102;221
3;0;0;1;0;0;1;1;0;1;1;0;39;40;1;1;3;1;1;1;1;0;2;181;177;98;189
3;0;0;0;1;0;1;1;0;1;1;0;30;42;2;0;1;1;2;2;0;0;1;170;198;103;171
